Date,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Region,Mean Wind Speed (km/h),Max Wind Speed (km/h)
19 Aug,28.4,29.7,26.7,East,11.9,41.9
20 Aug,29.4,30.5,28.2,East,19.1,43.2
21 Aug,27.9,29.3,24.9,East,11.7,38.5
22 Aug,29.4,30.9,27.0,East,16.6,34.3
23 Aug,29.7,31.5,28.7,East,16.4,35.9
24 Aug,29.2,30.5,28.2,East,14.2,37.8
25 Aug,28.8,30.3,25.9,East,12.7,41.1
26 Aug,28.4,30.5,25.0,East,9.9,42.8
27 Aug,28.9,31.0,26.8,East,9.1,29.1
28 Aug,28.7,30.5,26.1,East,12.7,47.8
29 Aug,29.3,30.7,28.1,East,16.8,40.0
30 Aug,29.0,30.1,26.5,East,11.7,49.6
31 Aug,29.8,31.1,28.7,East,18.2,35.0
1 Jul,27.4,31.7,23.7,West,8.6,36.3
2 Jul,29.3,32.4,27.5,West,6.7,25.2
3 Jul,27.8,32.0,25.2,West,5.3,26.7
4 Jul,29.2,33.8,26.6,West,6.4,26.7
5 Jul,27.5,33.8,22.6,West,5.3,36.7
6 Jul,26.8,29.3,24.9,West,5.4,18.3
7 Jul,27.9,32.1,25.0,West,5.6,24.4
8 Jul,28.2,32.1,25.0,West,7.4,27.4
9 Jul,27.0,28.4,25.2,West,6.6,25.9
10 Jul,-,-,-,West,-,-
11 Jul,-,-,-,West,-,-
12 Jul,-,-,-,West,-,-
13 Jul,29.2,32.9,25.4,West,-,25.6
14 Jul,25.6,28.8,22.4,West,5.9,34.6
15 Jul,-,-,-,West,-,-
16 Jul,29.4,32.2,27.2,West,7.1,26.7
17 Jul,28.4,31.7,24.8,West,8.7,35.0
18 Jul,27.5,30.9,25.0,West,6.7,24.8
19 Jul,26.9,29.1,24.1,West,6.4,27.0
20 Jul,-,-,-,West,7.3,56.9
21 Jul,28.5,31.5,26.8,West,9.9,35.0
22 Jul,28.9,31.9,24.4,West,9.2,41.5
23 Jul,28.4,31.6,24.9,West,7.4,27.8
24 Jul,28.8,32.6,26.1,West,8.2,26.3
25 Jul,29.6,33.3,27.7,West,9.2,28.9
26 Jul,29.6,32.9,28.0,West,10.0,31.7
27 Jul,29.5,31.7,28.1,West,10.6,39.3
28 Jul,29.4,31.8,28.0,West,9.8,35.2
29 Jul,28.8,31.1,25.6,West,10.7,32.8
30 Jul,29.3,32.5,27.8,West,11.9,43.2
31 Jul,28.8,32.2,26.6,West,12.5,35.6
1 Jun,26.8,29.5,23.4,West,8.4,43.9
2 Jun,29.2,33.1,26.0,West,6.6,25.6
3 Jun,29.0,31.9,26.5,West,7.1,26.7
4 Jun,26.7,31.5,23.7,West,5.8,25.6
5 Jun,28.9,32.8,25.7,West,5.5,20.2
6 Jun,28.2,30.6,24.9,West,6.0,30.2
7 Jun,28.6,31.0,25.1,West,7.3,30.2
8 Jun,29.2,32.6,26.1,West,7.0,30.9
9 Jun,29.2,32.8,26.5,West,6.7,25.2
10 Jun,29.5,32.4,26.2,West,8.4,34.3
11 Jun,29.6,33.3,26.5,West,8.5,32.0
12 Jun,27.5,30.0,24.6,West,7.6,28.5
13 Jun,28.7,32.0,25.7,West,7.0,29.4
14 Jun,27.8,30.5,24.4,West,6.0,28.2
15 Jun,28.6,33.1,25.2,West,6.2,23.0
16 Jun,29.9,33.4,27.6,West,7.4,25.6
17 Jun,29.8,32.7,28.2,West,7.9,26.3
18 Jun,27.7,31.3,23.4,West,5.2,37.8
19 Jun,28.7,34.2,25.8,West,6.3,20.9
20 Jun,29.0,33.2,25.1,West,6.4,24.8
21 Jun,29.7,32.3,27.9,West,9.1,30.6
22 Jun,29.9,33.5,27.4,West,7.9,26.7
23 Jun,29.2,32.5,26.9,West,6.2,24.8
24 Jun,27.3,31.2,23.9,West,6.2,24.8
25 Jun,27.9,31.4,23.8,West,6.3,32.4
26 Jun,27.0,29.7,22.5,West,7.8,33.9
27 Jun,27.6,30.6,24.3,West,6.7,27.4
28 Jun,27.5,31.1,22.6,West,6.5,35.6
29 Jun,28.6,32.4,24.6,West,7.6,34.6
30 Jun,28.1,30.7,23.6,West,6.9,27.8
1 Aug,29.1,32.0,27.6,West,9.0,31.3
2 Aug,29.3,32.7,27.7,West,9.8,31.3
3 Aug,26.0,28.6,22.5,West,7.6,44.6
4 Aug,28.3,32.1,24.9,West,9.3,37.8
5 Aug,29.3,32.7,27.4,West,10.8,32.0
6 Aug,29.4,32.7,26.0,West,7.7,28.5
7 Aug,29.6,32.8,26.7,West,9.2,32.4
8 Aug,28.6,32.9,24.5,West,10.5,39.3
9 Aug,28.8,32.3,25.8,West,10.1,40.0
10 Aug,29.1,32.5,27.7,West,10.2,30.2
11 Aug,28.3,32.0,22.9,West,7.9,43.9
12 Aug,28.7,31.6,25.3,West,9.2,27.4
13 Aug,28.9,31.8,27.4,West,9.7,32.8
14 Aug,-,-,-,West,9.4,54.4
15 Aug,-,-,-,West,6.4,22.0
16 Aug,27.8,31.6,24.8,West,7.4,31.7
17 Aug,27.0,30.7,25.2,West,6.0,23.3
18 Aug,26.0,27.1,24.4,West,6.3,26.7
19 Aug,26.6,29.8,24.8,West,6.0,39.6
20 Aug,28.4,31.2,26.6,West,8.7,38.5
21 Aug,26.0,28.5,22.6,West,7.3,38.5
22 Aug,28.5,32.0,24.9,West,10.5,38.2
23 Aug,29.1,32.5,27.2,West,10.8,34.3
24 Aug,29.0,32.9,27.3,West,10.2,33.9
25 Aug,28.5,31.9,26.0,West,10.1,35.2
26 Aug,27.5,32.2,25.3,West,7.4,42.0
27 Aug,28.2,32.3,24.9,West,9.1,26.7
28 Aug,28.2,31.4,26.3,West,7.8,31.7
29 Aug,28.3,30.8,26.1,West,8.5,35.2
30 Aug,28.4,31.6,25.1,West,9.2,30.6
31 Aug,29.0,32.1,27.5,West,11.4,38.9
